## 
## THIS LEXICON: Adapted from MPQA Subjectivity Lexicon
## Source Lexicon URL: http://mpqa.cs.pitt.edu/lexicons/subj_lexicon/
## Source Lexicon Construction: manual, semi-automatic
##
## Other Notes:  
##    The subjectivity (reliability) scores are just numeric guestimates 
##    of the strongsubj and weaksubj labels used in the original lexicon.
##          strongsubj -> reliability=1
##          weaksubj -> reliability=0.25
##
## Line Format: WORD	POLARITY	SUBJECTIVITY_SCORE
anarchists	negative	1
anarchy	negative	1
anemic	negative	0.25
angel	positive	0.25
angelic	positive	1
angels	positive	0.25
anger	negative	1
angered	negative	1
angering	negative	1
angers	negative	1
angrier	negative	1
angriest	negative	1
angrily	negative	1
angriness	negative	1
angry	negative	1
anguish	negative	1
anguished	negative	1
anguishes	negative	1
anguishing	negative	1
animated	positive	0.25
animosities	negative	1
animosity	negative	1
annihilate	negative	1
annihilated	negative	1
annihilates	negative	1
annihilating	negative	1
annihilation	negative	1
annihilations	negative	1
annoy	negative	1
annoyance	negative	1
annoyances	negative	1
annoyed	negative	1
annoying	negative	1
annoyingly	negative	1
annoys	negative	1
anomalies	negative	0.25
anomalous	negative	0.25
anomaly	negative	0.25
antagonism	negative	1
antagonisms	negative	1
antagonist	negative	0.25
antagonistic	negative	1
antagonists	negative	0.25
antagonize	negative	1
antagonized	negative	1
antagonizes	negative	1
antagonizing	negative	1
anti-	negative	1
anti-American	negative	1
anti-Israeli	negative	1
anti-Semite	negative	1
anti-Semites	negative	1
anti-US	negative	1
anti-american	negative	1
anti-israeli	negative	1
anti-occupation	negative	1
anti-proliferation	negative	1
anti-semite	negative	1
anti-semites	negative	1
anti-social	negative	1
anti-us	negative	1
anti-white	negative	1
antipathies	negative	1
antipathy	negative	1
antiquated	negative	1
antithetic	negative	1
antithetical	negative	1
antiwhite	negative	1
anxieties	negative	1
anxiety	negative	1
anxious	negative	1
anxiously	negative	1
anxiousness	negative	1
apathetic	negative	1
apathetically	negative	1
apathies	negative	1
apathy	negative	1
ape	negative	1
aped	negative	1
apes	negative	1
aping	negative	1
apocalypse	negative	1
apocalypses	negative	1
apocalyptic	negative	1
apologist	negative	1
apologists	negative	1
apostle	positive	1
apostles	positive	1
apotheosis	positive	1
apotheosises	positive	1
appal	negative	1
appaled	negative	1
appaling	negative	1
appall	negative	1
appalled	negative	1
appalling	negative	1
appallingly	negative	1
appalls	negative	1
appals	negative	1
appeal	positive	0.25
appealed	positive	0.25
appealing	positive	0.25
appeals	positive	0.25
appease	positive	0.25
appeased	positive	0.25
appeases	positive	0.25
appeasing	positive	0.25
applaud	positive	1
applauded	positive	1
applauding	positive	1
applauds	positive	1
appreciable	positive	0.25
appreciate	positive	1
appreciated	positive	1
appreciates	positive	1
appreciating	positive	1
appreciation	positive	1
appreciations	positive	1
appreciative	positive	1
appreciatively	positive	1
appreciativeness	positive	1
apprehension	negative	1
apprehensions	negative	1
apprehensive	negative	1
apprehensively	negative	1
appropriate	positive	0.25
approval	positive	0.25
approvals	positive	0.25
approve	positive	0.25
approved	positive	0.25
approves	positive	0.25
approving	positive	0.25
apt	positive	0.25
aptitude	positive	0.25
aptitudes	positive	0.25
aptly	positive	0.25
arbitrary	negative	1
arcane	negative	1
archaic	negative	1
archaical	negative	1
ardent	positive	1
ardently	positive	1
ardor	positive	1
ardors	positive	1
arduous	negative	1
arduously	negative	1
argue	negative	1
argued	negative	1
argues	negative	1
arguing	negative	1
argument	negative	0.25
argumentative	negative	1
arguments	negative	0.25
aristocratic	positive	0.25
arousal	positive	1
arouse	positive	1
aroused	positive	1
arouses	positive	1
arousing	positive	1
arresting	positive	1
arrogance	negative	1
arrogances	negative	1
arrogant	negative	1
arrogantly	negative	1
articulate	positive	1
artificial	negative	0.25
ascendant	positive	1
ascendants	positive	1
ascendent	positive	1
ascertainable	positive	1
ashamed	negative	1
asinine	negative	1
asininely	negative	1
asinininity	negative	1
asininities	negative	1
asininity	negative	1
askance	negative	1
askant	negative	1
asperse	negative	1
aspersed	negative	1
asperses	negative	1
aspersing	negative	1
aspersion	negative	1
aspersions	negative	1
aspiration	positive	1
aspirations	positive	1
aspire	positive	1
aspired	positive	1
aspires	positive	1
aspiring	positive	1
assail	negative	0.25
assailed	negative	0.25
assailing	negative	0.25
assails	negative	0.25
assassin	negative	1
assassinate	negative	0.25
assassinated	negative	0.25
assassinates	negative	0.25
assassinating	negative	0.25
assassins	negative	1
